english,file,row,german
Attack,ui.csv,2,Angriff
Attack,ui.csv,167,Angriff
Attack,ui.csv,1576,Angriff
Attack,vocabulary.csv,14,Angriff
Attack,vocabulary.csv,143,Angreifen
Attack,vocabulary.csv,466,Angriff
Attacked,vocabulary.csv,146,Angegriffen
Attacking,codex.csv,74,Angreifen
Attacking,vocabulary.csv,144,Angreifen
Attacks,vocabulary.csv,145,Angriffe
Cast,ui.csv,3,Besetzung
Cast,ui.csv,168,Besetzung
Cast,vocabulary.csv,155,Besetzung
Casting,codex.csv,75,Zauberwirken
Casting,vocabulary.csv,156,Beschwörung
Casts,vocabulary.csv,157,Wirft
Charge,traits.csv,1004,Ansturm
Charge,vocabulary.csv,20,Ansturm
Charges,vocabulary.csv,21,Ladungen
Defend,ui.csv,4,Verteidigen
Defend,ui.csv,169,Verteidigen
Defend,vocabulary.csv,147,Verteidigen
Defended,vocabulary.csv,150,Verteidigt
Defending,codex.csv,76,Verteidigung
Defending,vocabulary.csv,148,Verteidigung
Defends,vocabulary.csv,149,Verteidigt
Provoke,ui.csv,5,Provozieren
Provoke,ui.csv,170,Provozieren
Provoke,vocabulary.csv,151,Provozieren
Provoked,vocabulary.csv,154,Provoziert
Provokes,vocabulary.csv,153,Provoziert
Provoking,codex.csv,77,Provozieren
Provoking,vocabulary.csv,152,Provozierend
